id,text,truncated,retweet_count,favorite_count,user_screen_name,user_created_at,lang,rt_user_id,rt_user_screen_name,rt_user_name,rt_status_created_at,rt_retweet_count,rt_favorite_count,hashtags,resource_urls,group,stance,pyemotion,pysentimiento,user_id_tweets_count,created_at,objectives_text,is_rt
1589943588720324610,"RT @NicolasMaduro: #EnVivo 📹 | Resumen del Inicio de la Jornada de Trabajo en Egipto, en el marco de la #COP27. https://t.co/XTkUBVYMoc",False,1979,0,wilman10654482,2022-09-07T20:19:32+00:00,es,1252764865.0,NicolasMaduro,Nicolás Maduro,2022-11-08T00:01:15+00:00,1979.0,1317.0,"['ENVIVO', 'COP27']",['https://twitter.com/i/broadcasts/1mrxmkDVbbWGy'],['newbies'],NONE,others,0,0,2022-11-08T11:31:05+00:00,,True
1591489885625815040,"RT @OilsandsAction: Canada is a leader in reducing emissions, protecting the environment AND providing reliable energy supplies.

We need a…",False,32,0,AusraBorean,2021-01-24T23:33:28+00:00,en,2523599618.0,OilsandsAction,Oil Sands Action,2022-11-12T17:13:34+00:00,32.0,63.0,[],[],['oldies'],AGAINST,others,1,0,2022-11-12T17:55:31+00:00,,True
1592244264876249088,"RT @AlienorR2: This is why we can not have polluters at #COP27: ""Virtually all oil and gas companies are planning further exploitation of f…",False,28,0,hmshotspur19,2013-04-05T02:12:27+00:00,en,1.022084053036671e+18,AlienorR2,Allie Rougeot,2022-11-14T18:10:02+00:00,28.0,81.0,['COP27'],[],['oldies'],AGAINST,anger,-1,0,2022-11-14T19:53:09+00:00,,True
1590731921155592195,"RT @GustavoBolivar: La presencia de Francia Márquez en sudadera en la residencia de Col en Cairo, antes de ir a #COP27 deja reflexiones:
—M…",False,1598,0,josesarria,2009-06-20T15:12:44+00:00,es,50981729.0,GustavoBolivar,Gustavo Bolívar,2022-11-09T16:03:48+00:00,1598.0,6330.0,['COP27'],[],['oldies'],NONE,others,-1,0,2022-11-10T15:43:39+00:00,,True
1590361863564369920,#OJO Como ya lo había indicado @NicolasMaduro en su encuentro con @EmmanuelMacron en la #COP27. @jorgerpsuv se hace presente en el #ForodelaPaz en Paris donde también está invitado @GerardoBlyde. Esto mientras se ha especulado que se sentarían en #México la próxima semana. https://t.co/l2mFSSJqLn,True,3,3,CELIAMENDOZA25,2010-05-29T13:17:25+00:00,es,-1.0,,,,,,"['OJO', 'COP27']",['https://twitter.com/i/web/status/1590361863564369920'],['oldies'],NONE,others,0,5,2022-11-09T15:13:10+00:00,[],False
1591838992303116288,"RT @ISHA45620763: @SadhguruJV @APZBNF Congratulations @APZBNF for contributing to decarbonizing the planet. 
Cover Crops are an Indispensab…",False,23,0,ZimmerMar68,2016-05-16T13:00:59+00:00,en,1.2430476185543885e+18,ISHA45620763,PRIYA # SaveSoil,2022-11-13T13:56:27+00:00,23.0,41.0,[],[],['oldies'],AGAINST,joy,1,0,2022-11-13T17:02:45+00:00,,True
1592972329533202433,"For their Day 10 #COP27 wrap, 
@LukeMenzel, @TennantReed and @FrankieMuskovic are joined by @ARENA_aus CEO @darrenhmiller.

Start for the insights, stay for the @JohnKerry cameo... 
https://t.co/ciKfPgnU5M",True,5,9,EECouncil,2014-08-11T03:06:08+00:00,en,-1.0,,,,,,['COP27'],['https://twitter.com/i/web/status/1592972329533202433'],['oldies'],AGAINST,others,0,7,2022-11-16T20:06:14+00:00,[],False
1590032973654798339,RT @galida12: Muy fructífera reunión entre presidente @Isaac_Herzog 🇮🇱 y presidente @petrogustavo 🇨🇴 en #COP27 . La combinación del avance…,False,1025,0,HugoEscobar14,2022-06-29T23:46:51+00:00,es,363913970.0,galida12,Gali Dagan,2022-11-08T13:32:58+00:00,1025.0,3334.0,['COP27'],[],['newbies'],NONE,others,0,0,2022-11-08T17:26:16+00:00,,True
1592432951551176705,"@jeegeronimo Ali Salajegheh, vice president of the Islamic Republic of Iran: Our collective efforts are to entail practical, sustainable development that favors developing countries. #COP27 | via @jeegeronimo https://t.co/VeHHSjbLTV",True,0,0,rapplerdotcom,2011-07-07T06:34:10+00:00,en,-1.0,,,,,,[],['https://twitter.com/i/web/status/1592432951551176705'],['oldies'],AGAINST,others,1,824,2022-11-15T08:22:56+00:00,"[""Reinforce one's own image, presence, ideology, or values.""]",False
1593904530063646721,RT @TimmermansEU: #COP27 is in overtime. The EU is united in our ambition to move forward and build on what we agreed in Glasgow. Our messa…,False,358,0,sioconnell1,2015-12-29T15:49:01+00:00,en,1391776140.0,TimmermansEU,Frans Timmermans,2022-11-19T07:39:57+00:00,358.0,1151.0,['COP27'],[],['oldies'],AGAINST,others,0,5,2022-11-19T09:50:27+00:00,,True
1590446107230113793,"RT @JamesMelville: Food for thought. Watch this. 
#COP27 https://t.co/9du9ENJBLO",False,7464,0,stella_coppard,2014-02-04T11:40:13+00:00,en,20675681.0,JamesMelville,James Melville,2022-11-08T19:46:48+00:00,7464.0,17250.0,['COP27'],[],['oldies'],NONE,others,0,0,2022-11-09T20:47:55+00:00,,True
1589643390832054274,"RT @Quicktake: COP stands for Conference of the Parties, but do you know what the other acronyms in the annual climate conference stand for…",False,19,0,bpolitics,2012-04-26T20:50:01+00:00,en,252751061.0,Quicktake,Bloomberg Quicktake,2022-11-07T15:01:34+00:00,19.0,17.0,[],[],['oldies'],NONE,others,0,16,2022-11-07T15:38:13+00:00,,True
1589865540621066240,RT @BCollier2012: #bbcnews I'm old enough to remember Boris Johnson's contribution to COP26.. #C4News #COP27 https://t.co/FGvdY19k2y,False,476,0,WiganWoman68,2015-01-16T20:46:26+00:00,en,237798969.0,BCollier2012,Auld Bryan,2022-11-07T18:21:36+00:00,476.0,1163.0,"['BBCNEWS', 'C4NEWS', 'COP27']",[],['oldies'],NONE,others,0,0,2022-11-08T06:20:57+00:00,,True
1592502275834277888,"RT @theGEF: .@UN’s 3⃣ Rio Conventions aim to coordinate their measures to reverse
🌡️Climate change
🌳Land degradation
🦋Biodiversity loss 

H…",False,11,0,christacastro,2011-06-10T11:42:42+00:00,en,39085195.0,theGEF,Global Environment Facility (GEF),2022-11-14T20:21:08+00:00,11.0,44.0,[],[],['oldies'],AGAINST,others,0,4,2022-11-15T12:58:24+00:00,,True
1590155662927233024,RT @NicolasMaduro: En la #COP27 expresé la posición firme de Venezuela sobre los terribles desequilibrios ambientales producidos por las él…,False,3545,0,Armandocf2022,2022-08-07T18:36:37+00:00,es,1252764865.0,NicolasMaduro,Nicolás Maduro,2022-11-08T15:27:45+00:00,3545.0,2958.0,['COP27'],[],['newbies'],NONE,others,-1,0,2022-11-09T01:33:48+00:00,,True
1590475541412741120,"RT @CarolineLucas: Laughable for Rishi Sunak to claim that he'll make the UK a ""clean energy superpower"", when he's banned onshore wind, bl…",False,3502,0,JaneHar18677583,2019-10-05T10:05:09+00:00,en,80802900.0,CarolineLucas,Caroline Lucas,2022-11-09T12:36:51+00:00,3502.0,11747.0,[],[],['oldies'],NONE,disgust,-1,0,2022-11-09T22:44:53+00:00,,True
1590359487038525440,"RT @IAJournal_CH: Reading List: The Environment🌿

Find our updated list with 12 articles on everything from decolonial climate governance t…",False,11,0,anjankumar209,2010-06-01T05:56:25+00:00,en,2280742957.0,IAJournal_CH,International Affairs,2022-11-09T12:25:47+00:00,11.0,22.0,[],[],['oldies'],NONE,others,0,0,2022-11-09T15:03:43+00:00,,True
